s,L,o_s,o_r,g,G
1,1.470980000000000e-05,4.492699999999951e-06,4.471722222222235e-06,1.300337103673227e-05,1.218696520684701e-11
33,1.470980000000000e-05,4.142155555555553e-06,4.167433333333334e-06,1.300337103673227e-05,1.218696520684701e-11
65,1.470980000000000e-05,4.211477777777781e-06,4.167933333333336e-06,1.300337103673227e-05,1.218696520684701e-11
97,1.470980000000000e-05,4.214944444444442e-06,4.159033333333331e-06,1.300337103673227e-05,1.218696520684701e-11
129,1.470980000000000e-05,4.172477777777783e-06,4.191522222222228e-06,1.300337103673227e-05,1.218696520684701e-11
161,1.470980000000000e-05,4.191988888888888e-06,4.162533333333338e-06,1.300337103673227e-05,1.218696520684701e-11
193,1.470980000000000e-05,4.202844444444449e-06,4.159844444444442e-06,1.300337103673227e-05,1.218696520684701e-11
225,1.470980000000000e-05,4.107233333333334e-06,4.137499999999997e-06,1.300337103673227e-05,1.218696520684701e-11
257,1.470980000000000e-05,4.322077777777779e-06,4.159588888888889e-06,1.300337103673227e-05,1.218696520684701e-11
289,1.470980000000000e-05,4.253800000000010e-06,4.160066666666674e-06,1.300337103673227e-05,1.218696520684701e-11
321,1.470980000000000e-05,4.318577777777772e-06,4.185155555555553e-06,1.300337103673227e-05,1.218696520684701e-11
353,1.470980000000000e-05,4.265511111111104e-06,4.193511111111103e-06,1.300337103673227e-05,1.218696520684701e-11
385,1.470980000000000e-05,4.305888888888887e-06,4.145155555555550e-06,1.300337103673227e-05,1.218696520684701e-11
417,1.470980000000000e-05,4.378077777777780e-06,4.171366666666666e-06,1.300337103673227e-05,1.218696520684701e-11
449,1.470980000000000e-05,4.319722222222223e-06,4.171399999999999e-06,1.300337103673227e-05,1.218696520684701e-11
481,1.470980000000000e-05,4.324266666666669e-06,4.173155555555557e-06,1.300337103673227e-05,1.218696520684701e-11
513,1.470980000000000e-05,4.295377777777775e-06,4.174566666666667e-06,1.300337103673227e-05,1.218696520684701e-11
