s,L,o_s,o_r,g,G
1,1.470980000000000e-04,4.492699999999951e-05,4.471722222222235e-05,1.300337103673227e-04,1.218696520684701e-10
33,1.470980000000000e-04,4.142155555555553e-05,4.167433333333334e-05,1.300337103673227e-04,1.218696520684701e-10
65,1.470980000000000e-04,4.211477777777781e-05,4.167933333333336e-05,1.300337103673227e-04,1.218696520684701e-10
97,1.470980000000000e-04,4.214944444444442e-05,4.159033333333331e-05,1.300337103673227e-04,1.218696520684701e-10
129,1.470980000000000e-04,4.172477777777783e-05,4.191522222222228e-05,1.300337103673227e-04,1.218696520684701e-10
161,1.470980000000000e-04,4.191988888888888e-05,4.162533333333338e-05,1.300337103673227e-04,1.218696520684701e-10
193,1.470980000000000e-04,4.202844444444449e-05,4.159844444444442e-05,1.300337103673227e-04,1.218696520684701e-10
225,1.470980000000000e-04,4.107233333333334e-05,4.137499999999997e-05,1.300337103673227e-04,1.218696520684701e-10
257,1.470980000000000e-04,4.322077777777779e-05,4.159588888888889e-05,1.300337103673227e-04,1.218696520684701e-10
289,1.470980000000000e-04,4.253800000000010e-05,4.160066666666674e-05,1.300337103673227e-04,1.218696520684701e-10
321,1.470980000000000e-04,4.318577777777772e-05,4.185155555555553e-05,1.300337103673227e-04,1.218696520684701e-10
353,1.470980000000000e-04,4.265511111111104e-05,4.193511111111103e-05,1.300337103673227e-04,1.218696520684701e-10
385,1.470980000000000e-04,4.305888888888887e-05,4.145155555555550e-05,1.300337103673227e-04,1.218696520684701e-10
417,1.470980000000000e-04,4.378077777777780e-05,4.171366666666666e-05,1.300337103673227e-04,1.218696520684701e-10
449,1.470980000000000e-04,4.319722222222223e-05,4.171399999999999e-05,1.300337103673227e-04,1.218696520684701e-10
481,1.470980000000000e-04,4.324266666666669e-05,4.173155555555557e-05,1.300337103673227e-04,1.218696520684701e-10
513,1.470980000000000e-04,4.295377777777775e-05,4.174566666666667e-05,1.300337103673227e-04,1.218696520684701e-10
545,1.470980000000000e-04,4.258355555555557e-05,4.195500000000001e-05,1.300337103673227e-04,1.218696520684701e-10
577,1.470980000000000e-04,4.269733333333338e-05,4.196866666666670e-05,1.300337103673227e-04,1.218696520684701e-10
609,1.470980000000000e-04,4.276966666666666e-05,4.168088888888891e-05,1.300337103673227e-04,1.218696520684701e-10
641,1.470980000000000e-04,4.317499999999994e-05,4.206666666666663e-05,1.300337103673227e-04,1.218696520684701e-10
673,1.470980000000000e-04,4.311155555555558e-05,4.200444444444445e-05,1.300337103673227e-04,1.218696520684701e-10
705,1.470980000000000e-04,4.306822222222222e-05,4.180322222222228e-05,1.300337103673227e-04,1.218696520684701e-10
737,1.470980000000000e-04,4.342800000000002e-05,4.188833333333332e-05,1.300337103673227e-04,1.218696520684701e-10
769,1.470980000000000e-04,4.334966666666672e-05,4.174200000000001e-05,1.300337103673227e-04,1.218696520684701e-10
801,1.470980000000000e-04,4.301144444444448e-05,4.191033333333329e-05,1.300337103673227e-04,1.218696520684701e-10
833,1.470980000000000e-04,4.353644444444447e-05,4.168611111111111e-05,1.300337103673227e-04,1.218696520684701e-10
865,1.470980000000000e-04,4.342344444444443e-05,4.170066666666668e-05,1.300337103673227e-04,1.218696520684701e-10
897,1.470980000000000e-04,4.306311111111119e-05,4.150444444444447e-05,1.300337103673227e-04,1.218696520684701e-10
929,1.470980000000000e-04,4.329088888888890e-05,4.171900000000001e-05,1.300337103673227e-04,1.218696520684701e-10
961,1.470980000000000e-04,4.324888888888888e-05,4.180655555555554e-05,1.300337103673227e-04,1.218696520684701e-10
993,1.470980000000000e-04,4.297466666666664e-05,4.189911111111110e-05,1.300337103673227e-04,1.218696520684701e-10
1025,1.470980000000000e-04,4.335911111111109e-05,4.178555555555555e-05,1.300337103673227e-04,1.218696520684701e-10
1057,1.470980000000000e-04,4.339177777777783e-05,4.180066666666663e-05,1.300337103673227e-04,1.218696520684701e-10
1089,1.470980000000000e-04,4.335288888888890e-05,4.194066666666667e-05,1.300337103673227e-04,1.218696520684701e-10
1121,1.470980000000000e-04,4.303144444444445e-05,4.210466666666664e-05,1.300337103673227e-04,1.218696520684701e-10
1153,1.470980000000000e-04,4.275811111111113e-05,4.197766666666664e-05,1.300337103673227e-04,1.218696520684701e-10
1185,1.470980000000000e-04,4.304599999999999e-05,4.173733333333333e-05,1.300337103673227e-04,1.218696520684701e-10
1217,1.470980000000000e-04,4.308899999999995e-05,4.213877777777776e-05,1.300337103673227e-04,1.218696520684701e-10
1249,1.470980000000000e-04,4.372811111111116e-05,4.202122222222223e-05,1.300337103673227e-04,1.218696520684701e-10
1281,1.470980000000000e-04,4.277577777777777e-05,4.188266666666665e-05,1.300337103673227e-04,1.218696520684701e-10
1313,1.470980000000000e-04,4.251355555555556e-05,4.213322222222224e-05,1.300337103673227e-04,1.218696520684701e-10
1345,1.470980000000000e-04,4.345433333333327e-05,4.189555555555553e-05,1.300337103673227e-04,1.218696520684701e-10
1377,1.470980000000000e-04,4.284522222222221e-05,4.171355555555557e-05,1.300337103673227e-04,1.218696520684701e-10
1409,1.470980000000000e-04,4.327400000000002e-05,4.185255555555550e-05,1.300337103673227e-04,1.218696520684701e-10
1441,1.470980000000000e-04,4.299311111111110e-05,4.200277777777782e-05,1.300337103673227e-04,1.218696520684701e-10
1473,1.470980000000000e-04,4.284311111111111e-05,4.187122222222221e-05,1.300337103673227e-04,1.218696520684701e-10
1505,1.470980000000000e-04,4.331155555555554e-05,4.172322222222222e-05,1.300337103673227e-04,1.218696520684701e-10
1537,1.470980000000000e-04,4.311155555555558e-05,4.184111111111107e-05,1.300337103673227e-04,1.218696520684701e-10
1569,1.470980000000000e-04,4.335866666666667e-05,4.168088888888891e-05,1.300337103673227e-04,1.218696520684701e-10
