s,L,o_s,o_r,g,G
1,1.539810000000000e-05,4.822755555555433e-06,4.717266666666904e-06,1.404071482903282e-05,1.207667585433873e-11
4097,1.539810000000000e-05,4.287044444444444e-06,6.734143855555555e-03,1.404071482903282e-05,1.207667585433873e-11
8193,1.539810000000000e-05,4.919511111111122e-06,3.387588896666667e-02,1.404071482903282e-05,1.207667585433873e-11
12289,1.539810000000000e-05,4.087444444444440e-06,3.392295360000000e-02,1.404071482903282e-05,1.207667585433873e-11
16385,1.539810000000000e-05,4.125044444444434e-06,3.397245214444444e-02,1.404071482903282e-05,1.207667585433873e-11
20481,1.539810000000000e-05,4.234633333333328e-06,3.403664142222221e-02,1.404071482903282e-05,1.207667585433873e-11
24577,1.539810000000000e-05,4.261033333333332e-06,3.410279396666666e-02,1.404071482903282e-05,1.207667585433873e-11
28673,1.539810000000000e-05,4.345355555555565e-06,3.416852425555555e-02,1.404071482903282e-05,1.207667585433873e-11
32769,1.539810000000000e-05,4.498855555555556e-06,3.423500755555556e-02,1.404071482903282e-05,1.207667585433873e-11
36865,1.539810000000000e-05,4.174499999999999e-06,3.430253498888889e-02,1.404071482903282e-05,1.207667585433873e-11
40961,1.539810000000000e-05,4.259622222222220e-06,3.437661651111111e-02,1.404071482903282e-05,1.207667585433873e-11
45057,1.539810000000000e-05,4.663211111111115e-06,3.444569767777778e-02,1.404071482903282e-05,1.207667585433873e-11
49153,1.539810000000000e-05,4.245688888888883e-06,3.451584336666667e-02,1.404071482903282e-05,1.207667585433873e-11
53249,1.539810000000000e-05,4.256722222222234e-06,3.458643866666666e-02,1.404071482903282e-05,1.207667585433873e-11
57345,1.539810000000000e-05,4.266688888888875e-06,3.465843697777778e-02,1.404071482903282e-05,1.207667585433873e-11
61441,1.539810000000000e-05,4.191988888888894e-06,3.473239610000000e-02,1.404071482903282e-05,1.207667585433873e-11
65537,1.539810000000000e-05,4.381066666666664e-06,3.480531657777777e-02,1.404071482903282e-05,1.207667585433873e-11
69633,1.539810000000000e-05,4.875255555555541e-06,3.488041714444444e-02,1.404071482903282e-05,1.207667585433873e-11
73729,1.539810000000000e-05,4.326588888888891e-06,3.495544042222222e-02,1.404071482903282e-05,1.207667585433873e-11
77825,1.539810000000000e-05,4.338333333333319e-06,3.503108470000000e-02,1.404071482903282e-05,1.207667585433873e-11
81921,1.539810000000000e-05,4.445677777777779e-06,3.510681741111112e-02,1.404071482903282e-05,1.207667585433873e-11
86017,1.539810000000000e-05,4.361866666666663e-06,3.518379018888888e-02,1.404071482903282e-05,1.207667585433873e-11
90113,1.539810000000000e-05,4.854255555555563e-06,3.526033743333334e-02,1.404071482903282e-05,1.207667585433873e-11
94209,1.539810000000000e-05,4.401533333333322e-06,3.533670611111111e-02,1.404071482903282e-05,1.207667585433873e-11
98305,1.539810000000000e-05,4.317033333333346e-06,3.541296276666667e-02,1.404071482903282e-05,1.207667585433873e-11
102401,1.539810000000000e-05,4.858844444444451e-06,3.548997924444444e-02,1.404071482903282e-05,1.207667585433873e-11
106497,1.539810000000000e-05,4.391288888888891e-06,3.556855905555555e-02,1.404071482903282e-05,1.207667585433873e-11
110593,1.539810000000000e-05,4.352811111111112e-06,3.564617450000000e-02,1.404071482903282e-05,1.207667585433873e-11
114689,1.539810000000000e-05,4.364933333333336e-06,3.572438207777778e-02,1.404071482903282e-05,1.207667585433873e-11
118785,1.539810000000000e-05,4.360355555555571e-06,3.580824058888889e-02,1.404071482903282e-05,1.207667585433873e-11
122881,1.539810000000000e-05,4.908366666666662e-06,3.588653538888889e-02,1.404071482903282e-05,1.207667585433873e-11
126977,1.539810000000000e-05,4.346277777777765e-06,3.596490516666666e-02,1.404071482903282e-05,1.207667585433873e-11
